ASX price,Gold price,Crude Oil (Brent)_USD/bbl,Copper_USD/tonne
2935.4,611.9,31.29,"1,650"
2778.4,603.3,32.65,"1,682"
2848.6,565.7,30.34,"1,656"
2970.9,538.6,25.02,"1,588"
2979.8,549.4,25.81,"1,651"
2999.7,535.9,27.55,"1,685"
3106.7,530.3,28.4,"1,713"
3202.9,552,29.83,"1,757"
3176.2,572.3,27.1,"1,790"
3282.4,545.4,29.59,"1,926"
3195.7,544.1,28.77,"2,053"
3306,551.3,29.88,"2,202"
3283.6,536.9,31.18,"2,421"
3372.5,520.9,30.87,"2,752"
3416.4,542.5,33.8,"3,000"
3407.7,543.2,33.36,"2,927"
3456.9,545.5,37.92,"2,728"
3530.3,565.1,35.19,"2,689"
3546.1,556.1,38.37,"2,817"
3561.9,562.5,43.03,"2,844"
3674.7,577.2,43.38,"2,903"
3786.3,573.1,49.77,"3,009"
3942.8,569.9,43.05,"3,130"
4053.1,577.5,39.65,"3,140"
4880.2,542,45.56,"3,247"
4878.4,552.3,53.08,"3,379"
5087.2,551,48.67,"3,242"
5207,564.2,57.58,"3,608"
4972.3,595.8,62.98,"3,851"
5034,648.4,55.53,"4,278"
4957.1,733,63.57,"4,744"
5079.8,767.3,62.25,"5,124"
5113,883.8,70.19,"8,059"
5352.9,842.1,73.9,"7,727"
5461.6,791.8,62.77,"7,623"
5644.3,812.8,58.48,"7,029"
5757.7,806.4,54.3,"5,689"
5816.5,849.3,57.76,"5,718"
5978.8,825.9,62.14,"6,465"
6158.3,820.1,67.4,"7,753"
6341.8,808,67.48,"7,678"
6310.6,778.2,71.32,"7,514"
6187.5,767.1,77.2,"7,981"
6248.3,803.7,70.8,"7,500"
6580.9,841.9,77.13,"7,671"
6779.1,839.3,83.04,"8,021"
6593.6,900.7,92.53,"6,957"
6421,920.8,91.45,"6,631"
5697,"1,009.10",91.92,"7,079"
5674.7,"1,010.10",94.82,"7,941"
5409.7,"1,047.60",103.28,"8,434"
5656.9,977.8,110.44,"8,714"
5773.9,936.3,123.94,"8,356"
5332.8,935.3,133.05,"8,292"
5052.6,976.6,133.9,"8,407"
5215.5,950.2,113.85,"7,634"
4631.3,"1,014.20",99.06,"6,975"
3982.7,"1,177.20",72.84,"4,895"
3672.7,"1,158.10",53.24,"3,729"
3659.3,"1,218.80",41.58,"3,105"
3478.1,"1,275.10",44.86,"3,260"
3296.9,"1,452.20",43.24,"3,328"
3532.3,"1,388.40",46.84,"3,771"
3744.7,"1,246.40",50.85,"4,437"
3813.3,"1,212.80",57.94,"4,595"
3947.8,"1,178.80",68.59,"5,013"
4249.5,"1,161.00",64.92,"5,241"
4484.1,"1,137.10",72.5,"6,177"
4739.3,"1,156.40",67.69,"6,196"
4646.9,"1,150.70",73.19,"6,306"
4715.5,"1,225.30",77.04,"6,682"
4882.7,"1,254.90",74.67,"6,977"
4596.9,"1,223.50",76.37,"7,367"
4651.1,"1,236.30",74.31,"6,868"
4893.1,"1,220.30",79.27,"7,467"
4833.9,"1,239.20",84.93,"7,730"
4453.6,"1,390.60",76.25,"6,843"
4324.8,"1,446.00",74.84,"6,502"
4507.4,"1,362.40",74.74,"6,751"
4438.8,"1,351.50",76.69,"7,303"
4636.9,"1,353.90",77.79,"7,730"
4733.4,"1,367.10",82.92,"8,290"
4676.4,"1,385.80",85.67,"8,458"
4846.9,"1,403.70",91.8,"9,153"
4849.9,"1,363.60",96.29,"9,533"
4923.6,"1,361.20",103.96,"9,881"
4928.6,"1,408.70",114.44,"9,503"
4899,"1,396.20",123.15,"9,483"
4788.9,"1,417.10",114.46,"8,932"
4659.8,"1,440.50",113.76,"9,067"
4500.5,"1,459.80",116.46,"9,650"
4369.9,"1,673.30",110.08,"8,998"
4070.1,"1,730.80",110.88,"8,300"
4360.5,"1,641.10",109.47,"7,394"
4184.67,"1,721.70",110.5,"7,581"
4111,"1,633.30",107.97,"7,559"
4325.7,"1,591.10",110.99,"8,062"
4388.1,"1,623.30",119.7,"8,441"
4420,"1,590.30",124.93,"8,471"
4467.2,"1,593.70",120.59,"8,286"
4133.7,"1,590.70",110.52,"7,897"
4135.5,"1,595.20",95.59,"7,428"
4289.4,"1,548.10",103.14,"7,584"
4339,"1,552.20",113.34,"7,510"
4406.3,"1,678.10",113.38,"8,088"
4535.4,"1,696.90",111.97,"8,062"
4518,"1,654.60",109.71,"7,711"
4664.6,"1,610.70",109.64,"7,966"
4901,"1,591.50",112.93,"8,054"
5120.4,"1,578.70",116.46,"8,061"
4979.9,"1,540.10",109.24,"7,652"
5168.6,"1,430.40",102.88,"7,221"
4914,"1,427.80",103.03,"7,249"
5035.7,"1,422.20",103.11,"7,000"
4775.4,"1,405.10",107.72,"6,907"
5125.3,"1,491.00",110.96,"7,186"
5217.7,"1,452.90",111.62,"7,159"
5420.3,"1,383.20",109.48,"7,203"
5314.3,"1,369.30",108.08,"7,071"
5353.1,"1,363.10",110.63,"7,215"
5205.1,"1,405.60",107.57,"7,291"
5415.4,"1,449.60",108.81,"7,149"
5403,"1,470.60",107.41,"6,650"
5470.8,"1,394.80",107.88,"6,674"
5473.8,"1,383.50",109.68,"6,891"
5382,"1,366.00",111.87,"6,821"
5623.1,"1,396.50",106.98,"7,113"
5624.6,"1,391.90",101.92,"7,002"
5296.8,"1,368.10",97.34,"6,872"
5505.02,"1,392.80",87.27,"6,737"
5298.1,"1,361.00",78.44,"6,713"
5388.6,"1,454.60",62.16,"6,446"
5551.6,"1,550.80",48.42,"5,831"
5898.5,"1,575.10",57.93,"5,729"
5861.9,"1,525.70",55.79,"5,940"
5773.67,"1,546.80",59.39,"6,042"
5774.9,"1,519.20",64.56,"6,295"
5451.2,"1,532.20",62.35,"5,833"
5681.7,"1,524.60",55.87,"5,457"
5222.1,"1,530.70",46.99,"5,127"
5058.6,"1,594.80",47.23,"5,217"
5288.6,"1,608.00",48.12,"5,216"
5218.2,"1,519.70",44.42,"4,800"
5344.6,"1,474.90",37.72,"4,639"
5056.6,"1,568.40",30.8,"4,472"
4947.9,"1,683.00",33.2,"4,599"
5151.8,"1,662.40",39.07,"4,954"
5316,"1,621.60",42.25,"4,873"
5447.8,"1,724.50",47.13,"4,695"
5310.4,"1,724.10",48.48,"4,642"
5644,"1,776.30",45.07,"4,864"
5529.4,"1,756.80",46.14,"4,751"
5525.2,"1,747.10",46.19,"4,722"
5402.4,"1,663.60",49.73,"4,731"
5502.4,"1,642.40",46.44,"5,450"
5719.1,"1,562.40",54.07,"5,660"
5675,"1,596.40",54.89,"5,754"
5761,"1,610.70",55.49,"5,940"
5903.8,"1,615.40",51.97,"5,824"
5947.6,"1,681.80",53.06,"5,683"
5761.3,"1,675.00",50.87,"5,599"